sensitivity: 1,Num of Targets: 2,Deadzone: 0.1,Controller: Mouse,Random: False
Time,Misses,Width,Distance
15268,0,50,466.2585119866446
515,1,50,306.78983033992506
100,1,50,0.0
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
525,3,30,189.0026454841307
437,4,30,196.16319736382766
107,4,30,0.0
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
454,6,40,386.25380257027894
432,7,40,432.00462960482264
119,7,40,7.0710678118654755
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
537,11,50,578.0423859891245
550,12,50,632.1779812679338
95,12,50,13.0
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
800,14,60,728.3632335586414
940,15,60,757.2641547042881
83,15,60,0.0
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
622,17,30,169.00295855398508
532,18,30,195.00256408570633
75,18,30,0.0
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
536,20,40,373.001340480165
619,21,40,359.01253460011674
74,21,40,0.0
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
652,23,50,603.1193911656298
594,24,50,626.0031948800262
130,24,50,41.10960958218893
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
809,28,60,728.3028216339684
724,29,60,735.0435361255821
123,29,60,0.0
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
sensitivity: 10,Num of Targets: 5,Deadzone: 0.1,"Controller: ('Controller (Xbox One For Windows)',)",Random: False
Time,Misses,Width,Distance
1477,0,50,544.6833942759775
487,0,50,288.84944175123485
387,0,50,319.7811751807789
925,1,50,288.44410203711914
485,1,50,278.4690287985362
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
810,3,30,185.31055015837603
448,3,30,211.81123671797963
586,3,30,226.37358503146962
786,3,30,224.2008028531566
770,4,30,208.67678356731494
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1206,5,40,402.4052683551745
1019,6,40,387.5512869285819
671,6,40,350.4069063246328
713,6,40,382.3414704161713
636,6,40,387.76926128820475
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
725,6,50,603.9751650523389
714,6,50,609.7843881241959
798,6,50,577.4738089298943
676,6,50,590.6005418216275
830,6,50,606.6934975751759
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
2080,7,60,766.319124125191
1099,7,60,754.4037380607283
876,7,60,732.3878753775215
911,7,60,753.0551108650681
977,7,60,771.0103760650695
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
sensitivity: 10,Num of Targets: 5,Deadzone: 0.1,"Controller: ('Controller (Xbox One For Windows)',)",Random: False
Time,Misses,Width,Distance
3840,0,50,867.0893840890915
1120,0,50,246.06503205453635
540,0,50,226.59214461229675
1136,0,50,245.63590942694026
591,0,50,297.9463038871266
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
716,0,30,189.274932307477
952,0,30,170.1763790894612
sensitivity: 1,Num of Targets: 2,Deadzone: 0.1,Controller: Mouse,Random: True
Time,Misses,Width,Distance
30645,0,50,775.649405337231
924,3,50,298.04194335697116
87,3,50,8.0
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
408,5,59,429.4659474277326
408,6,59,452.0276540212999
111,6,59,4.0
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
809,10,25,540.0148146115994
623,11,25,516.0155036430591
91,11,25,15.297058540778355
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
493,13,32,439.00113895068654
