Time,Misses,Width,Distance
1866,0,50,938.2989928588861
511,0,50,332.4349560440358
376,0,50,235.95126615468712
441,0,50,285.8058781760795
446,0,50,338.76392960290207
412,0,50,304.11346566701053
387,0,50,319.4761336938958
429,0,50,311.0064308016797
376,0,50,225.80079716422614
378,0,50,251.7300141024109
389,0,50,295.0254226333724
410,0,50,322.50426353770894
446,0,50,286.6862396418775
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
Time,Misses,Width,Distance
1934,0,50,985.3973817704206
466,0,50,271.14940531006147
641,1,50,272.1249712907656
513,1,50,274.2006564543564
517,1,50,312.0256399721023
558,1,50,300.7191380674
339,1,50,264.61292485439935
363,1,50,290.6441122747887
401,1,50,243.75602556654883
1015,2,50,279.95892555873263
411,2,50,268.00186566514793
416,2,50,258.8609665438187
427,2,50,301.43821920917725
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
414,2,52,263.60955976595386
402,2,52,244.29490375363952
380,2,52,222.40728405337808
350,2,52,267.3200329193456
361,2,52,263.79727064547126
354,2,52,240.60756430336932
352,2,52,216.5848563496534
400,2,52,216.20592036297248
337,2,52,197.51708786836647
366,2,52,236.12920192132103
318,2,52,269.20066864701505
387,2,52,278.6485241303101
382,2,52,229.12005586591496
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
Time,Misses,Width,Distance
2787,0,50,489.2862148068347
492,0,50,280.0017857085915
413,0,50,282.19496806286253
396,0,50,314.5313974788527
376,0,50,301.4962686336267
438,0,50,295.95438837766875
402,0,50,272.8021260914218
477,0,50,280.1446055165082
384,0,50,265.81948762270986
388,0,50,254.11808278829744
410,0,50,277.2183255125822
881,1,50,349.31074990615446
427,1,50,305.3604427557702
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
444,1,60,322.9024620531717
407,1,60,286.574597618142
406,1,60,282.56149773102493
454,1,60,317.47283348343365
379,1,60,316.0838496348714
524,1,60,313.3448579440869
396,1,60,326.71853329739344
454,1,60,310.0790221862808
415,1,60,279.30807363912703
437,1,60,308.60978597575286
408,1,60,303.349633261687
429,1,60,326.38627422120555
1109,2,60,286.50479926172267
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
848,3,20,285.17538463198395
1748,6,20,301.04152537482264
556,6,20,313.4645115479582
1167,6,20,315.06983352901307
1897,8,20,306.1780527732189
938,9,20,310.4126286090822
1247,11,20,288.7299776607895
908,12,20,286.01573383294846
864,12,20,280.8629559055448
1416,14,20,313.4996012756635
713,14,20,308.9546892345219
803,14,20,307.1432890362412
999,15,20,275.94383486499567
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
Time,Misses,Width,Distance
7795,0,50,463.0615509843157
5893,0,50,300.0
4932,0,50,266.8332812825267
2307,0,50,245.96747752497686
2508,0,50,240.8318915758459
1871,0,50,278.0287754891569
1493,0,50,235.3720459187964
2861,0,50,292.7456233660889
2108,0,50,296.1418578992169
2438,0,50,277.8488797889961
1871,0,50,275.86228448267445
3076,0,50,269.2582403567252
2524,0,50,266.8332812825267
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1930,0,50,490.0
1787,0,50,520.0
2654,0,50,502.19518117958876
2222,0,50,492.44289008980525
2741,1,50,480.83261120685233
1554,1,50,488.2622246293481
1530,2,50,497.29267036625424
1662,2,50,550.0
2032,3,50,500.0999900019995
2332,3,50,497.3932046178355
2267,3,50,516.2363799656123
2172,3,50,557.584074378026
1671,3,50,524.9761899362675
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1438,3,20,220.0
2116,3,20,230.0
4117,3,20,218.40329667841556
3478,3,20,210.23796041628637
6531,3,20,200.0
2462,3,20,200.0
2455,3,20,186.81541692269406
1678,3,20,220.0
2208,3,20,218.40329667841556
4077,3,20,210.95023109728987
5126,4,20,197.9898987322333
2107,4,20,210.23796041628637
Time,Misses,Width,Distance
Time,Misses,Width,Distance
24364,0,50,474.8136476555829
2000,0,50,230.0
1476,0,50,264.76404589747455
1131,0,50,269.2582403567252
1470,1,50,212.60291625469299
1017,1,50,233.23807579381202
1659,1,50,237.69728648009425
Time,Misses,Width,Distance
1172015,14,50,483.98553697398853
1467,14,50,250.0
1400,14,50,224.72205054244233
2284,15,50,259.42243542145695
1023,15,50,238.53720883753127
846,15,50,259.42243542145695
1030,15,50,332.41540277189324
868,15,50,310.0
854,15,50,228.0350850198276
2422,15,50,252.38858928247924
1437,15,50,262.48809496813374
1592,15,50,276.5863337187866
1522,15,50,237.06539182259397
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
914,15,33,200.0
2161,15,33,190.26297590440447
1262,15,33,212.13203435596427
12182,15,33,254.95097567963924
4806,16,33,261.72504656604804
1247,16,33,277.8488797889961
937,16,33,264.76404589747455
1485,16,33,250.19992006393608
4198,16,33,228.0350850198276
56463,16,33,255.53864678361276
1797,16,33,228.0350850198276
1415,16,33,226.71568097509268
1042,16,33,206.15528128088303
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
684,16,52,250.0
Time,Misses,Width,Distance
Time,Misses,Width,Distance
1037816,0,50,460.30424721047274
3101,0,50,300.0
1400,0,50,281.60255680657446
1448,0,50,313.04951684997053
1612,0,50,316.22776601683796
1401,0,50,351.14099732158877
916,0,50,304.138126514911
846,0,50,270.0
1466,0,50,252.98221281347034
1217,0,50,300.1666203960727
1045,0,50,286.0069929215018
1555,0,50,291.547594742265
1052,0,50,280.178514522438
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
878,0,57,314.00636936215164
2254,1,57,312.5699921617557
985,1,57,351.14099732158877
983,1,57,352.27829907617075
966,1,57,308.05843601498725
772,1,57,322.02484376209236
1568,3,57,317.80497164141406
775,3,57,350.0
718,3,57,347.1310991541956
1160,3,57,385.87562763149475
2098,3,57,370.1351104664349
1498,4,57,389.1015291668744
1492,4,57,335.2610922848042
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
45775,4,22,320.62439083762797
1886,4,22,300.66592756745814
2005,4,22,303.6445290137795
2592,4,22,338.3784863137726
1747,4,22,311.44823004794875
3922,6,22,322.49030993194197
1646,6,22,320.1562118716424
2165,6,22,320.62439083762797
1850,6,22,300.83217912982644
1834,6,22,331.2099032335839
1720,6,22,318.27660925679095
1409,6,22,317.6476034853718
1206,6,22,315.75306807693886
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1632,7,46,520.0
1431,7,46,550.0
2515,7,46,528.1098370604358
1876,7,46,528.3937925449162
2475,7,46,481.04053883222775
1793,7,46,488.7739763939975
1875,7,46,478.0167361086848
1132,7,46,500.0
3483,7,46,506.951674225463
2814,7,46,545.8937625582472
2047,7,46,509.31326312987375
1622,7,46,554.7071299343465
1654,7,46,504.47993022517755
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
Time,Misses,Width,Distance
60600,0,50,465.6790740413402
1101,0,50,280.0
1410,0,50,245.15301344262525
2670,0,50,255.53864678361276
1820,0,50,256.12496949731394
1126,0,50,302.32432915661946
1031,0,50,291.20439557122074
979,0,50,260.0
1002,0,50,245.15301344262525
1234,0,50,274.5906043549196
1458,1,50,290.68883707497264
1277,1,50,272.02941017470886
1226,1,50,264.76404589747455
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
2028,2,39,370.0
1064,2,39,370.0
1697,2,39,364.0054944640259
1566,2,39,358.4689665786984
1510,2,39,361.24783736376884
1935,2,39,420.5948168962618
956,2,39,349.28498393145964
1171,2,39,372.1558813185679
932,2,39,351.7101079013795
1148,2,39,353.5533905932738
1143,2,39,361.24783736376884
Time,Misses,Width,Distance
Time,Misses,Width,Distance
1597536,0,50,432.9457240809753
1455,0,50,340.58772731852804
2737,0,50,337.34255586866
1803,0,50,294.10882339705483
881,0,50,282.842712474619
1747,0,50,291.547594742265
1761,0,50,250.0
1216,0,50,270.0
1023,0,50,305.9411708155671
1805,0,50,324.49961479175903
369628,0,50,270.8228203087768
1412,0,50,286.35642126552705
2488,0,50,343.6568055487917
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1128,2,50,500.0
1220,2,50,500.0
1900,2,50,490.3060268852505
2040,2,50,451.88494110780016
923629,2,50,431.1855748978623
Time,Misses,Width,Distance
361025,0,50,484.3345950889736
1760,0,50,290.0
2240,0,50,335.4101966249685
2192,0,50,353.41194094144583
1072,0,50,339.4112549695428
1364,0,50,363.59317925395686
1168,0,50,347.85054261852173
984,0,50,370.0
1461,0,50,376.4306044943742
1555,0,50,296.8164415931166
1660,1,50,240.8318915758459
1168,1,50,264.0075756488817
